Date,Open,High,Low,Close,Adj Close,Volume
2015-06-11,109.709999,110.010002,109.580002,109.769997,102.103844,1850500
2015-06-12,109.279999,109.500000,108.879997,109.059998,101.443413,1490900
2015-06-15,108.279999,108.760002,107.870003,108.570000,100.987633,2865300
2015-06-16,108.449997,109.250000,108.400002,109.160004,101.536446,2604800
2015-06-17,109.330002,109.690002,108.739998,109.339996,101.703873,1911600
2015-06-18,109.580002,110.760002,109.580002,110.430000,102.717743,2496100
2015-06-19,110.389999,110.419998,109.860001,109.889999,102.215462,1735900
2015-06-22,110.680000,110.900002,110.449997,110.610001,102.885185,1864700
2015-06-23,110.730003,110.849998,110.459999,110.720001,102.987488,3080400
2015-06-24,110.559998,110.709999,109.860001,109.879997,102.206161,4931000
2015-06-25,110.199997,110.239998,109.449997,109.540001,101.889908,2110800
2015-06-26,109.290001,109.389999,108.650002,109.010002,101.831993,1503900
2015-06-29,108.029999,108.500000,106.650002,106.690002,99.664757,3642700
2015-06-30,107.620003,107.650002,106.680000,107.019997,99.973007,3394000
2015-07-01,108.019997,108.110001,107.279999,107.720001,100.626923,12016200
2015-07-02,108.050003,108.199997,107.349998,107.580002,100.496140,3140000
2015-07-06,106.989998,107.790001,106.620003,107.300003,100.234589,2570800
2015-07-07,107.440002,108.000000,105.930000,107.900002,100.795067,3329400
2015-07-08,107.099998,107.279999,105.910004,106.089996,99.104263,2938600
2015-07-09,107.150002,107.690002,106.269997,106.269997,99.272408,3064800
2015-07-10,107.580002,107.839996,107.099998,107.599998,100.514824,3431800
2015-07-13,108.580002,108.889999,108.379997,108.820000,101.654495,2835200
2015-07-14,108.800003,109.500000,108.589996,109.320000,102.121574,2292500
2015-07-15,109.370003,109.559998,108.910004,109.190002,102.000130,2555700
2015-07-16,109.849998,109.949997,109.650002,109.940002,102.700745,1313600
2015-07-17,109.989998,110.000000,109.650002,109.959999,102.719437,1294800
2015-07-20,110.050003,110.209999,109.779999,109.940002,102.700745,1338700
2015-07-21,109.879997,110.040001,109.300003,109.489998,102.280373,1660500
2015-07-22,109.099998,109.500000,109.000000,109.330002,102.130913,1852100
2015-07-23,109.470001,109.529999,108.519997,108.699997,101.542404,1569500
2015-07-24,108.750000,108.830002,107.389999,107.559998,100.477470,2073500
2015-07-27,107.059998,107.459999,106.599998,106.849998,99.814201,2958400
2015-07-28,107.160004,108.230003,106.779999,108.120003,101.000587,2198600
2015-07-29,108.180000,108.980003,108.059998,108.839996,101.673164,1624000
2015-07-30,108.570000,109.040001,108.169998,108.949997,101.775925,1390100
2015-07-31,109.309998,109.339996,108.699997,108.839996,101.673164,2422600
2015-08-03,108.989998,108.989998,107.889999,108.449997,101.308846,2654600
2015-08-04,108.449997,108.750000,108.000000,108.269997,101.140701,1600000
2015-08-05,108.839996,109.339996,108.459999,108.639999,101.486343,1253600
